1000,0010,1022,2222,2201,0122,2202,0220,2002,0202,0222,2220,2020,2021,2112,
1000,0022,2221,2122,2220,2020,2012,1202,0220,2021,2101,0122,2222,2202,0221,
0122,2222,2201,0110,1001,0101,0102,0202,0221,2101,0100,0021,2120,2020,2012,
0001,0100,0021,2102,0202,0210,1001,0122,2221,2120,2002,0221,2112,1220,2020,
0011,1100,0022,2202,0202,0221,2122,2212,1222,2222,2220,2020,2001,0101,0122,
0002,0220,2002,0202,0221,2120,2020,2010,1021,2121,2112,1211,1112,1222,2222,
1012,1212,1220,2020,2012,1222,2222,2210,1010,1000,0022,2220,2022,2202,0220,
0112,1222,2222,2201,0110,1012,1210,1002,0202,0221,2111,1101,0111,1121,2120,
0121,2122,2221,2112,1202,0220,2002,0202,0221,2121,2110,1022,2222,2202,0222,
0111,1121,2111,1101,0100,0021,2120,2021,2102,0202,0211,1111,1120,2020,2012,
0000,0012,1220,2020,2001,0112,1202,0220,2012,1212,1200,0021,2102,0202,0222,
0000,0021,2102,0202,0221,2122,2202,0200,0002,0222,2212,1222,2222,2201,0100,
1110,1021,2102,0220,2002,0202,0222,2222,2210,1020,2020,2001,0102,0211,1112,
1012,1220,2020,2001,0112,1202,0220,2021,2120,2011,1120,2002,0202,0222,2212,
1100,0011,1122,2202,0222,2220,2021,2120,2001,0111,1111,1102,0200,0001,0121,
0000,0021,2102,0202,0210,1011,1121,2111,1101,0111,1111,1112,1202,0222,2222,
0102,0202,0221,2121,2102,0212,1211,1120,2002,0222,2202,0220,2020,2022,2220,
0121,2122,2221,2121,2102,0220,2002,0202,0212,1220,2020,2022,2222,2202,0210,
1002,0220,2002,0202,0212,1220,2020,2022,2222,2210,1001,0111,1112,1221,2112,
1010,1022,2202,0202,0210,1021,2120,2020,2012,1200,0001,0100,0021,2122,2220,
0121,2120,2002,0220,2020,2022,2222,2201,0120,2000,0002,0222,2212,1220,2021,
0022,2222,2210,1011,1111,1112,1202,0220,2002,0202,0222,2202,0212,1221,2122,
1120,2002,0220,2020,2022,2202,0202,0212,1222,2220,2000,0002,0200,0020,2011,
1011,1111,1120,2020,2012,1222,2222,2210,1000,0002,0220,2021,2101,0121,2121,
0102,0202,0221,2101,0101,0122,2221,2102,0210,1020,2002,0222,2222,2202,0220,
0101,0122,2212,1222,2202,0202,0221,2122,2222,2210,1020,2002,0222,2211,1112,
0012,1220,2020,2012,1212,1202,0220,2022,2222,2210,1020,2002,0202,0222,2221,
1112,1211,1110,1011,1111,1122,2221,2120,2012,1222,2222,2202,0212,1202,0210,
1101,0101,0122,2202,0220,2002,0202,0200,0001,0102,0221,2102,0222,2212,1222,
0120,2020,2012,1222,2212,1212,1220,2021,2120,2022,2202,0221,2102,0222,2222,
0010,1001,0102,0202,0221,2102,0222,2222,2210,1000,0012,1201,0112,1202,0220,
0000,0021,2102,0202,0221,2121,2112,1222,2211,1122,2212,1200,0002,0212,1201,
0100,0022,2220,2002,0220,2020,2021,2102,0202,0222,2221,2122,2222,2212,1200,
1111,1112,1202,0220,2002,0202,0222,2220,2020,2021,2122,2202,0221,2120,2012,
0111,1121,2111,1101,0102,0202,0221,2101,0120,2020,2012,1222,2222,2210,1021,
0010,1012,1211,1112,1222,2212,1202,0220,2002,0202,0222,2222,2201,0112,1212,
1110,1011,1112,1202,0202,0221,2120,2002,0220,2020,2001,0111,1111,1102,0211,
1000,0010,1001,0110,1022,2222,2210,1002,0202,0221,2100,0012,1220,2002,0212,
1112,1211,1110,1011,1111,1101,0102,0220,2012,1222,2202,0202,0212,1200,0010,
0021,2102,0202,0210,1010,1011,1111,1112,1202,0200,0001,0120,2002,0220,2020,
0010,1000,0012,1212,1220,2020,2012,1201,0110,1022,2222,2201,0122,2221,2121,
1012,1220,2020,2012,1212,1221,2112,1222,2222,2201,0101,0111,1120,2022,2220,
0102,0202,0221,2112,1202,0212,1220,2020,2002,0222,2222,2210,1012,1222,2202,
1110,1011,1112,1220,2022,2220,2021,2111,1111,1120,2020,2001,0121,2101,0101,
1120,2002,0220,2020,2022,2222,2201,0112,1201,0102,0202,0222,2202,0200,0001,
0110,1012,1202,0220,2002,0202,0221,2120,2020,2022,2222,2210,1021,2102,0210,
1100,0001,0100,0021,2121,2102,0202,0221,2122,2202,0200,0011,1122,2220,2021,
1011,1102,0220,2002,0202,0210,1020,2020,2022,2221,2122,2201,0111,1120,2021,
0100,0022,2221,2122,2220,2002,0212,1202,0202,0221,2112,1222,2222,2202,0200,
0100,0022,2200,0000,0002,0222,2222,2220,2002,0200,0012,1212,1202,0211,1102,
0001,0101,0122,2200,0021,2102,0202,0221,2122,2222,2202,0222,2212,1212,1220,
1101,0101,0120,2002,0220,2020,2022,2222,2201,0121,2120,2011,1121,2112,1212,
1100,0011,1122,2222,2201,0110,1020,2020,2012,1211,1111,1110,1010,1001,0102,
0000,0012,1212,1220,2020,2012,1201,0102,0220,2022,2211,1122,2212,1222,2210,
0001,0102,0220,2002,0202,0222,2220,2020,2001,0120,2021,2100,0021,2102,0210,
