1022,2222,2201,0121,2120,2020,2012,1222,2202,0202,
0110,1001,0100,0000,0021,2120,2020,2001,0111,1100,
0010,1000,0012,1220,2020,2001,0110,1022,2220,2012,
0002,0220,2002,0202,0222,2212,1211,1112,1222,2210,
1022,2220,2020,2001,0101,0120,2022,2202,0220,2002,
0111,1122,2211,1100,0011,1111,1110,1022,2221,2122,
1001,0112,1220,2022,2220,2000,0001,0102,0220,2011,
0122,2212,1222,2210,1011,1110,1020,2020,2012,1210,
1122,2222,2201,0122,2221,2111,1100,0001,0121,2120,
0002,0220,2012,1220,2002,0202,0222,2222,2210,1000,
0000,0012,1220,2020,2012,1222,2212,1212,1202,0220,
0020,2002,0220,2020,2012,1202,0202,0222,2222,2210,
1101,0102,0202,0221,2100,0011,1121,2121,2110,1011,
1011,1111,1110,1012,1202,0220,2002,0202,0222,2220,
0000,0021,2121,2102,0202,0221,2101,0111,1120,2002,
1102,0220,2021,2120,2020,2012,1202,0202,0210,1010,
1020,2002,0220,2020,2012,1212,1221,2122,2211,1122,
1120,2002,0220,2020,2001,0121,2112,1202,0202,0221,
1111,1122,2212,1202,0202,0210,1021,2120,2002,0221,
1001,0112,1222,2220,2020,2012,1200,0000,0012,1212,
1000,0000,0021,2101,0102,0220,2002,0202,0222,2222,
1020,2002,0220,2020,2021,2102,0202,0222,2202,0221,
0102,0202,0210,1002,0221,2100,0010,1000,0012,1220,
