0000,0021,2112,1220,2002,0222,2222,2220,2020,2021,2122,2210,1002,0221,2102,
1002,0202,0221,2120,2020,2001,0100,0010,1000,0012,1212,1220,2022,2220,2000,
0022,2212,1202,0220,2021,2120,2020,2000,0000,0012,1222,2222,2220,2001,0112,
1110,1011,1112,1211,1111,1101,0102,0220,2012,1212,1200,0022,2202,0202,0222,
1000,0001,0100,0021,2120,2002,0220,2020,2022,2202,0202,0201,0122,2220,2000,
0122,2220,2020,2012,1222,2202,0220,2022,2221,2101,0111,1122,2222,2200,0000,
0010,1012,1220,2020,2012,1212,1202,0202,0221,2102,0222,2200,0012,1200,0011,
1020,2002,0220,2020,2022,2202,0202,0200,0022,2212,1222,2222,2220,2011,1101,
0120,2020,2012,1222,2222,2210,1012,1211,1112,1212,1220,2000,0000,0012,1200,
1010,1002,0220,2002,0202,0222,2220,2020,2022,2201,0111,1111,1100,0001,0102,
1122,2220,2020,2001,0102,0220,2022,2202,0212,1212,1222,2211,1100,0022,2210,
1101,0111,1121,2111,1111,1110,1021,2102,0221,2120,2020,2012,1212,1220,2000,
0100,0002,0202,0221,2121,2102,0200,0020,2020,2012,1222,2220,2000,0011,1101,
1022,2222,2210,1010,1000,0000,0012,1212,1220,2020,2012,1210,1002,0220,2022,
1022,2222,2210,1001,0121,2112,1202,0202,0221,2122,2220,2020,2012,1210,1021,
0020,2002,0202,0221,2120,2020,2012,1222,2222,2201,0122,2202,0212,1221,2121,
0100,0001,0122,2202,0220,2002,0202,0212,1200,0021,2120,2020,2022,2220,2000,
1100,0011,1122,2211,1111,1101,0121,2101,0122,2202,0222,2220,2021,2121,2112,
0001,0100,0021,2120,2020,2012,1202,0212,1211,1112,1201,0120,2021,2121,2112,
0021,2120,2002,0220,2020,2022,2202,0202,0221,2122,2220,2000,0001,0101,0120,
0112,1222,2222,2201,0110,1021,2102,0202,0221,2121,2112,1221,2110,1012,1202,
1111,1112,1202,0220,2002,0202,0222,2222,2201,0120,2020,2021,2122,2220,2011,
0010,1000,0012,1220,2020,2012,1212,1200,0022,2212,1222,2202,0220,2022,2221,
1100,0011,1122,2202,0222,2220,2020,2012,1222,2211,1111,1121,2120,2001,0110,
1100,0001,0100,0021,2102,0202,0221,2111,1122,2222,2201,0121,2101,0111,1111,
1100,0011,1122,2211,1111,1110,1000,0010,1022,2222,2220,2002,0200,0012,1220,
1102,0220,2002,0202,0222,2220,2020,2012,1200,0011,1120,2001,0122,2211,1111,
0000,0021,2121,2102,0202,0210,1021,2112,1211,1110,1011,1112,1212,1200,0010,
1010,1002,0220,2002,0202,0222,2220,2020,2012,1222,2202,0221,2121,2122,2211,
1121,2120,2020,2012,1222,2222,2201,0111,1101,0100,0022,2220,2021,2102,0202,
1112,1212,1220,2002,0220,2020,2022,2222,2201,0111,1122,2212,1200,0011,1121,
1101,0111,1121,2121,2102,0202,0221,2111,1111,1112,1222,2222,2201,0121,2100,
0100,0010,1021,2122,2212,1222,2210,1002,0220,2002,0202,0222,2211,1110,1020,
