1002,0202,0221,2100,0022,2220,2020,2012,1222,2202,0220,2022,2222,2210,1012,1220,2021,2122,2221,2111,1101,0102,0222,2212,1212,1221,2121,2101,0112,1200,0000,0001,0101,0100,0011,1100,0002,0200,0020,2000,0021,2102,0212,1201,0110,
1002,0202,0221,2100,0022,2220,2020,2012,1222,2202,0220,2022,2222,2210,1012,1210,1022,2221,2112,1221,2102,0212,1220,2021,2101,0100,0000,0001,0101,0102,0200,0002,0201,0110,1000,0010,1001,0111,1100,0011,1101,0112,1200,0012,1201,
1002,0202,0221,2100,0022,2220,2020,2012,1222,2202,0220,2022,2222,2210,1012,1220,2021,2122,2221,2111,1101,0100,0000,0001,0101,0102,0222,2200,0020,2002,
1002,0202,0221,2100,0022,2220,2020,2012,1222,2202,0220,2022,2222,2210,1012,1202,0222,2200,0000,0002,0212,1201,0101,0110,1022,2212,1221,2122,2201,0122,2221,2111,1122,2211,1100,0001,0100,0010,1000,0011,1101,0102,0200,0012,1212,
1002,0202,0221,2100,0022,2220,2020,2012,1222,2202,0220,2022,2222,2210,1012,1210,1022,2221,2112,1221,2111,1102,0222,2200,0000,0021,2102,0212,1201,0121,2110,1010,1021,2122,2212,1212,1211,1120,2011,1111,1112,1202,0211,1110,1011,
1002,0202,0221,2100,0022,2220,2020,2012,1222,2202,0220,2022,2222,2210,1012,1210,1001,0120,2002,0200,0000,0020,2001,0102,0222,2200,0001,0100,0002,0201,0101,0110,1000,0011,1100,0010,1010,1011,1101,0111,1102,0212,1200,0012,1201,
1002,0202,0221,2100,0022,2220,2020,2012,1222,2202,0220,2022,2222,2210,1012,1220,2002,0200,0000,0020,2000,0002,0210,1000,0001,0100,0010,1001,0101,0102,0201,0110,1010,1011,1100,0011,1122,2200,0012,1200,0021,2101,0121,2102,0222,
1002,0202,0221,2100,0022,2220,2020,2012,1222,2202,0220,2022,2222,2210,1012,1202,0222,2200,0000,0012,1212,1220,2001,0120,2002,0212,1201,0110,1020,2010,1001,0102,0200,0002,0201,0100,0001,0101,0111,1100,0010,1000,0011,1122,2201,
1002,0202,0221,2100,0022,2220,2020,2012,1222,2202,0220,2022,2222,2210,1012,1201,0121,2122,2201,0100,0012,1220,2002,0212,1211,1120,2011,1102,0201,0110,1001,0101,0111,1111,1122,2200,0002,0222,2211,1100,0000,0011,1101,0122,2212,
0111,1100,0011,1122,2202,0212,1201,0121,2110,1000,0001,0120,2000,0021,2122,2221,2111,1111,1102,0200,0002,0202,0221,2102,0211,1112,1202,0220,2022,2201,0112,1200,0000,0020,2001,0122,2212,1222,2222,2220,2011,1120,2012,1211,1110,
