1122,2222,2210,1011,1100,0011,1111,1121,2121,2102,0202,0221,2122,2202,0220,2020,2012,1212,1220,2021,
1011,1122,2220,2002,0220,2020,2012,1222,2202,0201,0120,2021,2102,0211,1110,1012,1202,0221,2120,2022,
0112,1212,1220,2020,2012,1222,2222,2210,1001,0100,0020,2000,0002,0202,0210,1022,2202,0220,2011,1102,
