1022,2222,2201,0121,2120,2020,2012,1222,2202,0202,
0110,1001,0100,0000,0021,2120,2020,2001,0111,1100,
0010,1000,0012,1220,2020,2001,0110,1022,2220,2012,
0002,0220,2002,0202,0222,2212,1211,1112,1222,2210,
1022,2220,2020,2001,0101,0120,2022,2202,0220,2002,
0111,1122,2211,1100,0011,1111,1110,1022,2221,2122,
1001,0112,1220,2022,2220,2000,0001,0102,0220,2011,
0122,2212,1222,2210,1011,1110,1020,2020,2012,1210,
1122,2222,2201,0122,2221,2111,1100,0001,0121,2120,
0002,0220,2012,1220,2002,0202,0222,2222,2210,1000,
0000,0012,1220,2020,2012,1222,2212,1212,1202,0220,
0020,2002,0220,2020,2012,1202,0202,0222,2222,2210,
1101,0102,0202,0221,2100,0011,1121,2121,2110,1011,
1011,1111,1110,1012,1202,0220,2002,0202,0222,2220,
0000,0021,2121,2102,0202,0221,2101,0111,1120,2002,
1102,0220,2021,2120,2020,2012,1202,0202,0210,1010,
1020,2002,0220,2020,2012,1212,1221,2122,2211,1122,
1120,2002,0220,2020,2001,0121,2112,1202,0202,0221,
1111,1122,2212,1202,0202,0210,1021,2120,2002,0221,
1001,0112,1222,2220,2020,2012,1200,0000,0012,1212,
1000,0000,0021,2101,0102,0220,2002,0202,0222,2222,
1020,2002,0220,2020,2021,2102,0202,0222,2202,0221,
0102,0202,0210,1002,0221,2100,0010,1000,0012,1220,
0020,2002,0220,2020,2001,0102,0202,0222,2222,2201,
1001,0121,2120,2020,2012,1221,2122,2221,2121,2112,
1101,0111,1121,2111,1111,1100,0020,2020,2021,2101,
1020,2020,2012,1202,0222,2222,2210,1000,0000,0021,
0122,2222,2210,1012,1221,2112,1222,2221,2122,2220,
1112,1221,2120,2020,2012,1211,1110,1021,2110,1001,
1112,1202,0220,2002,0202,0222,2220,2020,2000,0022,
1000,0022,2212,1220,2020,2001,0120,2021,2121,2102,
1122,2212,1210,1012,1220,2002,0202,0221,2122,2211,
1120,2002,0220,2020,2022,2202,0221,2102,0222,2220,
0012,1200,0010,1011,1121,2120,2002,0220,2020,2022,
1110,1012,1210,1010,1001,0111,1112,1202,0222,2222,
0110,1011,1100,0020,2020,2012,1221,2111,1122,2220,
0112,1220,2020,2001,0121,2122,2222,2201,0102,0220,
0100,0010,1012,1210,1002,0202,0221,2102,0210,1022,
1001,0110,1021,2112,1202,0212,1220,2010,1020,2012,
1100,0001,0102,0202,0221,2122,2212,1222,2202,0212,
1000,0001,0121,2112,1202,0220,2020,2001,0111,1122,
0102,0222,2200,0022,2222,2201,0120,2020,2012,1221,
1022,2221,2122,2220,2022,2222,2212,1220,2000,0021,
1121,2120,2022,2211,1101,0111,1111,1112,1222,2221,
1112,1211,1110,1011,1111,1101,0102,0220,2002,0202,
0022,2222,2210,1010,1022,2202,0220,2002,0202,0212,
0110,1000,0022,2220,2002,0220,2020,2000,0000,0020,
0010,1000,0012,1202,0202,0221,2101,0122,2221,2120,
1000,0000,0012,1222,2220,2002,0220,2020,2012,1200,
1101,0100,0020,2011,1121,2121,2102,0202,0221,2122,
0120,2020,2012,1220,2022,2220,2011,1120,2002,0202,
1102,0220,2002,0202,0222,2222,2201,0120,2020,2022,
0021,2102,0202,0210,1001,0111,1110,1022,2222,2202,
0020,2022,2220,2000,0002,0202,0221,2122,2202,0212,
0122,2222,2201,0110,1010,1002,0220,2021,2120,2001,
0112,1220,2020,2012,1201,0101,0122,2222,2201,0110,
0102,0220,2002,0202,0221,2120,2020,2001,0100,0012,
0122,2222,2201,0101,0120,2020,2012,1220,2022,2220,
1111,1101,0112,1222,2222,2201,0110,1012,1210,1022,
0020,2002,0220,2020,2010,1012,1201,0112,1221,2102,
1012,1222,2220,2020,2001,0121,2112,1220,2012,1202,
1020,2002,0220,2020,2022,2202,0221,2121,2100,0020,
0121,2120,2002,0202,0221,2102,0210,1022,2202,0201,
1111,1110,1002,0202,0221,2101,0100,0022,2200,0012,
1001,0110,1021,2102,0200,0022,2222,2202,0222,2201,
0020,2002,0220,2020,2001,0112,1222,2202,0202,0221,
0002,0202,0210,1011,1110,1000,0020,2020,2012,1211,
0101,0122,2220,2022,2202,0220,2010,1022,2211,1100,
0112,1221,2120,2020,2001,0121,2102,0222,2202,0200,
0000,0021,2112,1202,0220,2002,0202,0222,2220,2012,
1001,0111,1121,2121,2102,0202,0221,2122,2220,2020,
0020,2020,2012,1202,0220,2002,0202,0221,2120,2000,
1121,2122,2202,0211,1101,0111,1111,1100,0021,2121,
1122,2221,2112,1221,2122,2211,1100,0000,0012,1211,
0121,2100,0010,1011,1110,1020,2002,0220,2020,2022,
